"","Year","Month","Day","totflfAs","totflfAsstd","seedsfAs","seedsfAsstd","leafflfAs","leafflfAsstd","fruitflfAs","fruitflfAsstd","flowerflfAs","flowerflfAsstd","branchflfAs","branchflfAsstd"
"1",2013,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2013,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2013,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2013,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2013,5,NA,0.194204724409449,0.0251042942034062,NA,NA,0.122661417322835,0.0206553362464158,NA,NA,NA,NA,0.137583282858873,0.0190008490940616
"6",2013,6,NA,0.14207874015748,0.0206135960029786,NA,NA,0.14207874015748,0.0206135960029786,NA,NA,NA,NA,NA,NA
"7",2013,7,NA,0.164047244094488,0.0165460840899732,NA,NA,0.0924173228346457,0.0154436676887458,NA,NA,NA,NA,0.13774984857662,0.0155359667913775
"8",2013,8,NA,0.208275590551181,0.0187730730308921,NA,NA,0.208275590551181,0.0187730730308921,NA,NA,NA,NA,NA,NA
"9",2013,9,NA,0.195818897637795,0.0198431682912782,NA,NA,0.125259842519685,0.0185415019098935,NA,NA,NA,NA,0.13569049061175,0.0181984285967566
"10",2013,10,NA,0.240464566929134,0.0348891155281142,NA,NA,0.240464566929134,0.0348891155281142,NA,NA,NA,NA,NA,NA
"11",2013,11,NA,0.327968503937008,0.0404026260521646,NA,NA,0.249866141732283,0.0442179279642353,NA,NA,NA,NA,0.150196850393701,0.0132743057852776
"12",2013,12,NA,0.215149606299213,0.0252130199511962,NA,NA,0.215149606299213,0.0252130199511962,NA,NA,NA,NA,NA,NA
"13",2014,1,NA,0.329068241469816,0.0315963071519246,NA,NA,0.97996062992126,0.744472357063946,NA,NA,NA,NA,0.177271350696548,0.0227377549753421
"14",2014,2,NA,0.254803149606299,0.0334903617584024,NA,NA,0.254803149606299,0.0334903617584024,NA,NA,NA,NA,NA,NA
"15",2014,3,NA,0.376377952755906,0.0508267830894673,NA,NA,0.291305774278215,0.0364398981937387,NA,NA,NA,NA,0.201509186351706,0.0222018452910725
"16",2014,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",2014,5,NA,0.424204724409449,0.0551467661729284,NA,NA,0.441879921259843,0.0533609846297735,NA,NA,NA,NA,NA,NA
"18",2014,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",2014,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",2014,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",2014,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",2014,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",2014,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",2014,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
